first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value,,,
Lyndell,Jereatt,Female,14,1994-11-28,28,Payment Adjustment Coordinator,n/a,High Net Worth,N,No,13,58770 Monterey Plaza,2122,NSW,Australia,12,1.05,1.05,1.3125,1.3125,#REF!,954,0.45,,,
Inglis,Pickaver,Male,33,1994-06-25,28,Product Engineer,Telecommunications,Affluent Customer,N,No,1,14067 Armistice Plaza,2770,NSW,Australia,8,1.1,1.1,1.1,1.1,#REF!,963,0.44,,,
Marcelia,Monkleigh,Female,61,1993-08-22,29,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,0.93,1.1625,1.1625,0.988125,15,17,1.546875,,,
Gaston,Dallaghan,Male,44,1993-09-29,29,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,0.44,0.55,0.55,0.4675,19,21,1.515625,,,
Antonin,Britt,Male,64,1993-08-28,29,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,0.91,1.1375,1.421875,1.421875,38,40,1.434375,,,
Griswold,Kelsall,Male,55,1993-12-19,29,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,0.42,0.525,0.525,0.525,50,52,1.39453125,,,
Gina,Mallon,Female,56,1994-02-11,29,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,0.56,0.56,0.56,0.476,95,102,1.28828125,,,
Leonid,Dorricott,Male,44,1993-11-18,29,Environmental Tech,n/a,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,1,1,1,1,#REF!,195,1.1475,,,
Daisy,Pollen,Female,97,1993-08-09,29,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,1.02,1.02,1.275,1.08375,#REF!,302,1.03,,,
Harwell,Kleinstein,Male,87,1993-10-18,29,Sales Representative,Retail,Affluent Customer,N,No,15,7 Huxley Trail,3818,VIC,Australia,5,0.55,0.55,0.6875,0.6875,#REF!,420,0.91375,,,
Claudell,Rounsefell,Male,67,1993-11-27,29,VP Sales,Financial Services,Affluent Customer,N,No,8,61416 Karstens Place,4217,QLD,Australia,5,0.93,0.93,0.93,0.93,#REF!,444,0.9,,,
Lynnett,Tipper,Female,22,1993-08-03,29,Social Worker,Health,High Net Worth,N,Yes,2,9 Ridgeview Avenue,3109,VIC,Australia,10,1.07,1.3375,1.671875,1.671875,#REF!,466,0.89,,,
Byrom,Ramas,Male,23,1993-11-02,29,Help Desk Technician,Manufacturing,High Net Worth,N,No,12,2 Jackson Place,2528,NSW,Australia,7,1.02,1.02,1.02,1.02,#REF!,555,0.8125,,,
Chico,Dye,Male,46,1994-02-04,29,Speech Pathologist,Manufacturing,High Net Worth,N,No,13,168 Schlimgen Center,2526,NSW,Australia,9,0.78,0.78,0.975,0.975,#REF!,555,0.8125,,,
Wheeler,Godsil,Male,51,1993-09-20,29,Geologist IV,Manufacturing,Affluent Customer,N,Yes,6,7 Spaight Drive,2147,NSW,Australia,9,0.97,1.2125,1.515625,1.515625,#REF!,626,0.74375,,,
Son,Varney,Male,75,1993-11-02,29,Analog Circuit Design manager,Property,Mass Customer,N,Yes,10,189 Bayside Court,2480,NSW,Australia,7,0.72,0.9,0.9,0.765,#REF!,725,0.669375,,,
Elvin,Trayhorn,Male,46,1993-06-02,29,VP Accounting,Financial Services,High Net Worth,N,No,10,79 Sheridan Point,2231,NSW,Australia,10,0.88,0.88,1.1,1.1,#REF!,774,0.626875,,,
Diane,Furman,Female,67,1993-08-11,29,,Manufacturing,Affluent Customer,N,Yes,13,6660 Riverside Circle,3013,VIC,Australia,9,0.5,0.625,0.78125,0.78125,#REF!,930,0.478125,,,
Nolly,Ivanchikov,Male,13,1994-02-10,29,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,11,6792 Kropf Hill,2049,NSW,Australia,11,0.79,0.9875,1.234375,1.234375,#REF!,948,0.456875,,,
Ludovico,Juster,Male,93,1992-04-19,30,Environmental Specialist,n/a,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,0.45,0.45,0.5625,0.5625,82,89,1.3125,,,
Tanya,Kiefer,Female,54,1992-07-05,30,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,0.44,0.44,0.55,0.55,#REF!,174,1.16875,,,
Maury,Galego,Male,65,1992-07-27,30,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,0.96,1.2,1.5,1.5,#REF!,181,1.158125,,,
Elbertina,Fendley,Female,32,1992-03-27,30,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,0.4,0.4,0.5,0.5,#REF!,191,1.15,,,
Bogey,Attew,Male,88,1992-11-18,30,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,0.72,0.9,1.125,0.95625,#REF!,259,1.0625,,,
Sonny,McCart,Male,35,1992-08-27,30,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,0.66,0.66,0.825,0.825,#REF!,324,1.01,,,
Giffie,Offill,Male,51,1993-03-02,30,Structural Engineer,Telecommunications,Affluent Customer,N,No,5,89 Riverside Court,4740,QLD,Australia,3,0.84,0.84,0.84,0.84,#REF!,386,0.945625,,,
Renie,Fiveash,Female,92,1992-10-10,30,Occupational Therapist,Health,High Net Worth,N,No,16,2 Anniversary Trail,4508,QLD,Australia,4,0.78,0.78,0.975,0.975,#REF!,688,0.697,,,
Debby,Balmadier,Female,53,1992-06-24,30,Administrative Assistant II,Financial Services,Affluent Customer,N,Yes,5,738 Spaight Drive,3216,VIC,Australia,8,0.84,1.05,1.05,1.05,#REF!,691,0.690625,,,
Mandi,Adamsson,Female,40,1992-04-07,30,Programmer Analyst I,Manufacturing,Mass Customer,N,Yes,5,25 Westerfield Road,4165,QLD,Australia,5,1.02,1.275,1.275,1.08375,#REF!,731,0.6640625,,,
Calhoun,Mussington,Male,98,1992-10-13,30,Dental Hygienist,Health,Mass Customer,N,No,12,176 Fallview Plaza,2019,NSW,Australia,9,0.83,0.83,1.0375,0.881875,#REF!,782,0.6205,,,
Fayre,Brannigan,Female,32,1992-10-13,30,Geological Engineer,Manufacturing,Mass Customer,N,Yes,9,31351 Sunbrook Place,2234,NSW,Australia,10,0.57,0.7125,0.890625,0.75703125,#REF!,788,0.6125,,,
Toma,Woolforde,Female,67,1992-03-09,30,Cost Accountant,Financial Services,Mass Customer,N,Yes,5,76 Melody Avenue,2092,NSW,Australia,12,0.65,0.8125,1.015625,0.86328125,#REF!,830,0.578,,,
Sim,Constantinou,Male,91,1992-08-09,30,Analog Circuit Design manager,Property,Mass Customer,N,No,5,41002 Loomis Park,2010,NSW,Australia,9,0.86,0.86,1.075,0.91375,#REF!,944,0.46,,,
Edin,Patinkin,Female,35,1992-03-26,30,Account Executive,Health,Mass Customer,N,No,17,6 Milwaukee Hill,3015,VIC,Australia,4,0.44,0.44,0.44,0.374,#REF!,948,0.456875,,,
Tyne,Anshell,Female,71,1992-04-08,30,Mechanical Systems Engineer,n/a,Mass Customer,N,Yes,3,93 Sutherland Terrace,2560,NSW,Australia,8,0.95,1.1875,1.1875,1.009375,#REF!,979,0.4165,,,
Shannen,Lewin,Female,21,1991-06-07,31,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,0.91,0.91,0.91,0.91,#REF!,259,1.0625,,,
Julietta,Setchfield,Female,73,1992-01-31,31,Operator,n/a,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,0.51,0.6375,0.6375,0.6375,#REF!,312,1.02,,,
Sherill,,Female,33,1991-12-18,31,Information Systems Manager,Financial Services,Mass Customer,N,No,3,53 Moulton Avenue,2880,NSW,Australia,1,0.63,0.63,0.63,0.5355,#REF!,420,0.91375,,,
Donaugh,Benedict,Male,3,1991-12-01,31,Systems Administrator III,Property,Mass Customer,N,No,12,30049 Brown Road,2233,NSW,Australia,9,1.03,1.03,1.2875,1.094375,#REF!,420,0.91375,,,
Katie,Warhurst,Female,0,1991-12-02,31,Help Desk Operator,Retail,High Net Worth,N,Yes,14,96 Rutledge Drive,3064,VIC,Australia,5,0.77,0.9625,0.9625,0.9625,#REF!,450,0.9,,,
Beverlee,Querree,Female,42,1991-04-21,31,Marketing Manager,Financial Services,High Net Worth,N,Yes,12,891 Ohio Terrace,2075,NSW,Australia,12,0.82,1.025,1.28125,1.28125,#REF!,549,0.82,,,
Oswald,MacCarlich,Male,81,1991-11-24,31,Assistant Media Planner,Entertainment,Mass Customer,N,No,14,16 Mosinee Place,4717,QLD,Australia,1,0.88,0.88,1.1,0.935,#REF!,568,0.8,,,
Stephen,Tittershill,Male,73,1991-12-21,31,Nurse Practicioner,Financial Services,High Net Worth,N,No,6,8 Scott Drive,3150,VIC,Australia,11,0.96,0.96,1.2,1.2,#REF!,658,0.7125,,,
Gardiner,Gypps,Male,91,1991-06-01,31,VP Product Management,Retail,Mass Customer,N,Yes,13,1 Elgar Alley,2166,NSW,Australia,9,0.41,0.5125,0.640625,0.54453125,#REF!,691,0.690625,,,
Yardley,Matten,Male,35,1991-03-06,31,Junior Executive,Financial Services,Mass Customer,N,No,15,74 Everett Court,4408,QLD,Australia,2,0.53,0.53,0.53,0.4505,#REF!,733,0.6625,,,
Dolorita,Strutton,Female,7,1991-05-21,31,General Manager,Manufacturing,Affluent Customer,N,No,17,07 Acker Pass,3178,VIC,Australia,8,0.71,0.71,0.71,0.71,#REF!,904,0.5,,,
Olag,,Male,60,1990-05-13,32,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,0.95,0.95,1.1875,1.009375,11,13,1.609375,,,
Hanny,Treven,Female,84,1991-01-22,32,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,0.42,0.42,0.525,0.44625,91,99,1.296875,,,
Bambi,Cogger,Female,51,1990-07-12,32,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,0.62,0.775,0.775,0.775,119,127,1.25,,,
Malorie,Votier,Female,90,1990-05-29,32,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,0.72,0.72,0.9,0.9,125,133,1.2375,,,
Morton,Petkens,Male,50,1990-11-13,32,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,0.89,1.1125,1.1125,1.1125,#REF!,289,1.0375,,,
Ange,Chitham,Female,91,1991-02-14,32,,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,1.04,1.04,1.3,1.105,#REF!,297,1.030625,,,
Natividad,Balducci,Female,39,1991-02-07,32,,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,1.05,1.3125,1.640625,1.640625,#REF!,310,1.02265625,,,
Pace,Clemonts,Male,99,1990-07-28,32,Media Manager IV,Retail,High Net Worth,N,No,10,335 Cambridge Hill,3122,VIC,Australia,7,0.57,0.57,0.7125,0.7125,#REF!,358,0.98,,,
Hanson,Eastes,Male,74,1990-05-20,32,,Manufacturing,Mass Customer,N,Yes,5,5735 Starling Plaza,3056,VIC,Australia,9,0.59,0.7375,0.921875,0.78359375,#REF!,395,0.94,,,
Ceciley,Harg,Female,50,1990-10-19,32,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,409 Starling Lane,4172,QLD,Australia,7,0.42,0.525,0.525,0.44625,#REF!,471,0.8875,,,
Worthington,Cohane,Male,60,1991-01-23,32,Chief Design Engineer,Entertainment,High Net Worth,N,No,2,846 Daystar Lane,2000,NSW,Australia,12,0.96,0.96,1.2,1.2,#REF!,520,0.8375,,,
Debbie,Tillman,Female,3,1990-07-06,32,Account Coordinator,Manufacturing,High Net Worth,N,Yes,13,527 Jay Trail,4551,QLD,Australia,8,0.41,0.5125,0.5125,0.5125,#REF!,582,0.79,,,
Hamel,Curzey,Male,11,1990-04-04,32,Structural Engineer,n/a,Mass Customer,N,Yes,9,6936 Homewood Avenue,4000,QLD,Australia,7.00,0.4,0.5,0.5,0.425,#REF!,733,0.6625,,,
Simonette,,Female,4,1990-04-06,32,VP Product Management,Manufacturing,Affluent Customer,N,Yes,6,66 Hoffman Court,2232,NSW,Australia,8,0.69,0.8625,0.8625,0.8625,#REF!,760,0.6375,,,
Dmitri,,Male,72,1991-02-06,32,,Financial Services,High Net Worth,N,Yes,15,4 Mallory Pass,3690,VIC,Australia,4,0.47,0.5875,0.5875,0.5875,#REF!,810,0.5875,,,
Quentin,Gerleit,Female,32,1990-09-15,32,Associate Professor,Manufacturing,Mass Customer,N,No,4,88 Aberg Circle,3806,VIC,Australia,8,0.8,0.8,0.8,0.68,#REF!,865,0.55,,,
Rubia,Evetts,Female,59,1990-12-21,32,Pharmacist,Health,Mass Customer,N,No,16,64213 Miller Point,2071,NSW,Australia,9,1.09,1.09,1.3625,1.158125,#REF!,921,0.49,,,
Datha,Fishburn,Female,15,1990-07-02,32,Office Assistant IV,Retail,Mass Customer,N,No,3,6 Caliangt Way,3079,VIC,Australia,12,0.5,0.5,0.625,0.53125,#REF!,994,0.3825,,,
Feodor,Vickers,Male,60,1989-11-18,33,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,0.41,0.5125,0.5125,0.435625,171,173,1.171875,,,
Collete,Dory,Female,66,1990-01-09,33,Information Systems Manager,n/a,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,1.04,1.04,1.3,1.3,#REF!,195,1.1475,,,
Seamus,Cains,Male,61,1989-12-15,33,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,1.02,1.02,1.02,1.02,#REF!,312,1.02,,,
Sula,Thomann,Female,56,1989-03-17,33,Assistant Manager,n/a,Mass Customer,N,No,6,7 Dayton Circle,2160,NSW,Australia,9,1.02,1.02,1.275,1.08375,#REF!,498,0.860625,,,
Mel,Rochford,Female,11,1989-07-23,33,Assistant Professor,Retail,Mass Customer,N,Yes,4,56334 Vera Crossing,3013,VIC,Australia,9,0.58,0.725,0.90625,0.7703125,#REF!,774,0.626875,,,
Vivienne,Crayden,Female,82,1988-09-18,34,Associate Professor,n/a,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,0.63,0.7875,0.984375,0.984375,60,68,1.3546875,,,
Juliana,Mitchenson,Female,55,1989-01-05,34,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,0.8,1,1,0.85,158,166,1.175,,,
Freddi,Litherborough,Female,46,1989-01-14,34,Product Engineer,Financial Services,Mass Customer,N,No,7,7873 Meadow Vale Plaza,2460,NSW,Australia,3,1.04,1.04,1.04,0.884,#REF!,418,0.918,,,
Emelia,Ackwood,Female,72,1988-09-30,34,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,10,1 South Street,4183,QLD,Australia,9,0.66,0.825,1.03125,0.8765625,#REF!,515,0.839375,,,
Sonni,Milligan,Female,73,1988-03-05,34,Budget/Accounting Analyst III,Retail,Mass Customer,N,Yes,14,04769 Dahle Plaza,3170,VIC,Australia,9,0.85,1.0625,1.328125,1.12890625,#REF!,774,0.626875,,,
Callean,Wass,Male,65,1988-12-15,34,GIS Technical Architect,Financial Services,Affluent Customer,N,No,14,0593 Stoughton Center,3073,VIC,Australia,8,1,1,1,1,#REF!,820,0.584375,,,
Keelby,Sudlow,Male,96,1988-09-01,34,Marketing Assistant,Manufacturing,High Net Worth,N,No,12,8042 Cherokee Court,3163,VIC,Australia,8,0.48,0.48,0.6,0.6,#REF!,820,0.584375,,,
Keely,Bointon,Female,71,1988-10-16,34,Nurse,Telecommunications,High Net Worth,N,No,3,55 Dorton Point,4154,QLD,Australia,9,0.99,0.99,1.2375,1.2375,#REF!,913,0.499375,,,
Chryste,Oddboy,Female,44,1988-08-22,34,Software Engineer III,Manufacturing,High Net Worth,N,Yes,4,2115 Maryland Alley,2320,NSW,Australia,9,0.81,1.0125,1.265625,1.265625,#REF!,947,0.459,,,
Roddy,Rubinshtein,Male,37,1987-10-08,35,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,0.52,0.65,0.65,0.5525,103,114,1.275,,,
Biddie,Gorce,Female,68,1988-01-30,35,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,0.54,0.675,0.675,0.57375,#REF!,295,1.03125,,,
Zollie,Crinidge,Male,39,1988-01-10,35,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,1.09,1.3625,1.3625,1.158125,#REF!,297,1.030625,,,
Dena,Pabst,Female,39,1987-04-20,35,Account Executive,Manufacturing,High Net Worth,N,Yes,17,02023 Loeprich Drive,3037,VIC,Australia,7,1.08,1.35,1.35,1.35,#REF!,590,0.78359375,,,
Osbourn,Gherardini,Male,43,1987-05-01,35,,n/a,High Net Worth,N,Yes,16,5 Dryden Road,2782,NSW,Australia,7,0.46,0.575,0.575,0.575,#REF!,626,0.74375,,,
Gordon,Rewan,Male,42,1988-01-07,35,Chief Design Engineer,n/a,Mass Customer,N,No,5,91 Calypso Trail,2750,NSW,Australia,8,0.81,0.81,0.81,0.6885,#REF!,651,0.7225,,,
Petr,Westman,Male,5,1987-11-02,35,Nurse Practicioner,Property,Mass Customer,N,No,7,98454 Dapin Park,4556,QLD,Australia,7,0.42,0.42,0.42,0.357,#REF!,760,0.6375,,,
Ilise,Clissold,Female,58,1987-11-16,35,Developer IV,Entertainment,High Net Worth,N,No,9,659 Comanche Plaza,2153,NSW,Australia,10,0.6,0.6,0.75,0.75,#REF!,913,0.499375,,,
Stephi,Highton,Female,30,1987-09-09,35,Software Engineer I,Telecommunications,Mass Customer,N,Yes,12,293 Mendota Park,2154,NSW,Australia,10,0.5,0.625,0.78125,0.6640625,#REF!,930,0.478125,,,
Lauralee,Fudge,Female,83,1987-09-21,35,Research Nurse,Health,Mass Customer,N,No,15,9460 Monument Park,3277,VIC,Australia,4,0.54,0.54,0.675,0.57375,#REF!,985,0.408,,,
Sybilla,MacCart,Female,88,1987-01-15,36,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,0.49,0.6125,0.765625,0.65078125,26,32,1.453125,,,
Nichole,Leisman,Male,37,1986-08-07,36,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,1.07,1.07,1.3375,1.3375,146,158,1.1875,,,
Kinna,Kollasch,Female,7,1986-11-09,36,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,0.92,0.92,1.15,1.15,180,188,1.15625,,,
Harriet,Brattan,Female,81,1986-12-03,36,Human Resources Assistant I,Financial Services,High Net Worth,N,No,2,66 Ruskin Parkway,3579,VIC,Australia,1,0.82,0.82,1.025,1.025,#REF!,378,0.95625,,,
Theresina,,Female,30,1987-03-01,36,General Manager,Argiculture,Mass Customer,N,Yes,14,253 Katie Junction,2650,NSW,Australia,2,0.43,0.5375,0.5375,0.456875,#REF!,441,0.901,,,
Nicolas,O'Donnell,Male,40,1986-09-25,36,Internal Auditor,n/a,Mass Customer,N,Yes,14,3319 Anthes Crossing,3177,VIC,Australia,7,0.97,1.2125,1.2125,1.030625,#REF!,568,0.8,,,
Benedikt,Adamou,Male,15,1987-01-15,36,Recruiting Manager,Health,Mass Customer,N,No,11,4 Bluestem Pass,3564,VIC,Australia,3,0.68,0.68,0.68,0.578,#REF!,960,0.442,,,
Daryle,Marginson,Male,93,1986-06-27,36,Environmental Tech,Argiculture,Mass Customer,N,Yes,9,21316 Ohio Place,2121,NSW,Australia,12,0.62,0.775,0.96875,0.8234375,#REF!,979,0.4165,,,
Barthel,Docket,Male,72,1985-08-02,37,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,0.67,0.8375,0.8375,0.711875,10,10,1.640625,,,
Colene,Fishleigh,Female,24,1985-03-14,37,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,0.97,0.97,1.2125,1.030625,35,42,1.421875,,,
Nowell,Preddy,Male,29,1985-07-23,37,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,0.46,0.46,0.575,0.48875,117,133,1.2375,,,
Abner,Fraschetti,Male,33,1986-01-23,37,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,0.42,0.42,0.42,0.42,154,166,1.175,,,
Eustacia,Dornan,Female,68,1985-09-02,37,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,0.97,0.97,1.2125,1.030625,172,181,1.158125,,,
Cecelia,Cisar,Female,20,1985-03-26,37,,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,0.44,0.55,0.55,0.4675,#REF!,312,1.02,,,
Hilario,McCulloch,Male,61,1986-01-10,37,Physical Therapy Assistant,Retail,Mass Customer,N,No,8,799 Luster Road,3051,VIC,Australia,8,0.84,0.84,0.84,0.714,#REF!,530,0.82875,,,
Orly,Nesbitt,Female,6,1985-03-25,37,Analyst Programmer,Manufacturing,High Net Worth,N,Yes,14,7 Beilfuss Road,3163,VIC,Australia,6,0.43,0.5375,0.5375,0.5375,#REF!,657,0.714,,,
Davie,Blay,Male,94,1985-12-19,37,Financial Analyst,Financial Services,Mass Customer,N,No,8,7021 5th Alley,2770,NSW,Australia,7,0.9,0.9,1.125,0.95625,#REF!,808,0.595,,,
Irving,Babcock,Male,60,1986-01-17,37,Dental Hygienist,Health,High Net Worth,N,Yes,15,36 Killdeer Crossing,2705,NSW,Australia,1,0.99,1.2375,1.2375,1.2375,#REF!,967,0.435625,,,
Rozamond,Riha,Female,54,1984-10-07,38,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,0.68,0.85,0.85,0.85,56,68,1.3546875,,,
Tristam,Larose,Male,70,1985-01-29,38,VP Accounting,Financial Services,Mass Customer,N,No,17,9645 Moose Terrace,2137,NSW,Australia,11,0.89,0.89,1.1125,0.945625,#REF!,455,0.8925,,,
Nils,Champion,Male,69,1984-07-06,38,Programmer III,Retail,Affluent Customer,N,No,13,261 Holy Cross Park,2750,NSW,Australia,9,0.65,0.65,0.8125,0.8125,#REF!,549,0.82,,,
Janaye,Eade,Female,23,1984-12-13,38,Chief Design Engineer,Health,Affluent Customer,N,No,4,2782 Northridge Street,2420,NSW,Australia,3,0.9,0.9,0.9,0.9,#REF!,760,0.6375,,,
Jesse,Alflat,Male,31,1984-09-01,38,Executive Secretary,n/a,High Net Worth,N,No,5,49 Northfield Drive,2145,NSW,Australia,9,0.97,0.97,1.2125,1.2125,#REF!,893,0.520625,,,
Ashlen,Willbond,Female,64,1984-05-15,38,Software Consultant,Health,High Net Worth,N,No,16,723 Grayhawk Way,3934,VIC,Australia,8,1.05,1.05,1.05,1.05,#REF!,913,0.499375,,,
Abbie,Oldman,Male,82,1983-11-26,39,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,1,1.25,1.5625,1.5625,204,212,1.136875,,,
Laurie,Odlin,Female,75,1983-03-08,39,Social Worker,Health,High Net Worth,N,No,10,15669 Arizona Trail,3194,VIC,Australia,10,0.68,0.68,0.85,0.85,#REF!,409,0.925,,,
Bertine,Smalles,Female,85,1983-12-10,39,VP Quality Control,Financial Services,Mass Customer,N,Yes,9,7 Johnson Hill,3028,VIC,Australia,8,0.9,1.125,1.40625,1.1953125,#REF!,708,0.68,,,
Wilbert,O'Loughnan,Male,14,1983-05-18,39,Paralegal,Financial Services,Mass Customer,N,Yes,6,22580 Doe Crossing Drive,4055,QLD,Australia,9,0.61,0.7625,0.953125,0.81015625,#REF!,708,0.68,,,
Wilone,Champley,Female,22,1983-11-06,39,,Manufacturing,High Net Worth,N,No,17,9346 Lyons Point,2077,NSW,Australia,10,0.81,0.81,1.0125,1.0125,#REF!,924,0.48875,,,
Michele,Pammenter,Male,23,1983-06-26,39,Teacher,Health,High Net Worth,N,No,2,37 Mesta Road,3198,VIC,Australia,8,1.03,1.03,1.03,1.03,#REF!,948,0.456875,,,
Brena,Schnitter,Female,78,1982-10-11,40,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,0.53,0.53,0.53,0.4505,19,25,1.484375,,,
Lorrie,Antonelli,Male,47,1983-02-11,40,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,0.93,1.1625,1.1625,1.1625,46,57,1.375,,,
Dorothy,Barnardo,Female,58,1983-02-01,40,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,0.96,0.96,0.96,0.96,54,65,1.3625,,,
Kipp,Stockport,Male,36,1982-12-10,40,Data Coordiator,Retail,Mass Customer,N,Yes,6,02 Roth Drive,2022,NSW,Australia,11,0.66,0.825,1.03125,0.8765625,#REF!,386,0.945625,,,
Demott,Mullaly,Male,42,1982-12-15,40,Help Desk Operator,Property,Mass Customer,N,No,13,28 Hazelcrest Drive,2525,NSW,Australia,8,0.42,0.42,0.42,0.357,#REF!,642,0.733125,,,
Meade,Bampton,Male,69,1982-04-25,40,Health Coach III,Health,High Net Worth,N,No,17,7870 Stuart Crossing,2090,NSW,Australia,7,1.08,1.08,1.08,1.08,#REF!,755,0.64,,,
Hagen,MacCarter,Male,93,1983-02-08,40,,Entertainment,Affluent Customer,N,Yes,15,7 Ramsey Trail,3172,VIC,Australia,9,1.08,1.35,1.6875,1.6875,#REF!,760,0.6375,,,
Verne,Loalday,Male,1,1982-03-20,40,Marketing Assistant,IT,High Net Worth,N,No,7,598 Memorial Place,2082,NSW,Australia,10,0.64,0.64,0.8,0.8,#REF!,788,0.6125,,,
Erminie,Rabidge,Female,64,1982-03-09,40,,Manufacturing,High Net Worth,N,No,17,1969 Melody Lane,2170,NSW,Australia,8,0.67,0.67,0.67,0.67,#REF!,801,0.59765625,,,
Guilbert,Bearns,Male,42,1982-10-29,40,Financial Analyst,Financial Services,Mass Customer,N,Yes,5,47776 Packers Street,3226,VIC,Australia,8,1.08,1.35,1.35,1.1475,#REF!,845,0.563125,,,
Mikel,McNess,Male,71,1981-09-22,41,Nurse,n/a,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,1.07,1.07,1.3375,1.136875,26,32,1.453125,,,
Odessa,Mc Andrew,Female,97,1981-12-01,41,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,0.53,0.53,0.6625,0.563125,44,54,1.38125,,,
Ashby,Bispham,Male,71,1981-10-29,41,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,0.87,0.87,0.87,0.87,96,120,1.2625,,,
Glenn,Casbourne,Female,4,1981-08-08,41,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,0.77,0.77,0.77,0.6545,123,144,1.234375,,,
